ID	GSM647461	GSM647462	GSM647463	GSM647464	GSM647465	GSM647466	GSM647467	GSM647468	GSM647469	GSM647470	GSM647471	GSM647472	GSM647473	GSM647474	GSM647475	GSM647476	GSM647477	GSM647478	GSM647479	GSM647480	GSM647481	GSM647482	GSM647483	GSM647484	GSM647485	GSM647486	GSM647487	GSM647488	GSM647489	GSM647490	GSM647491	GSM647492	GSM647493	GSM647494	GSM647495	GSM647496	GSM647497	GSM647498	GSM647499	GSM647500	GSM647501	GSM647502	GSM647503	GSM647504	GSM647505	GSM647506	GSM647507	GSM647508	GSM647509	GSM647510	GSM647511	GSM647512	GSM647513	GSM647514	GSM647515	GSM647516	GSM647517	GSM647518	GSM647519
3320	9.90759108	12.03572327	13.50533008	12.67543934	11.40137087	12.33664648	11.61174782	12.94071232	13.51581217	12.5119283	12.52978238	13.06911502	12.41431917	10.90704003	11.8529181	10.68725095	11.5321517	12.89432721	12.36300389	11.37250904	12.73721863	13.19626921	11.34288042	12.58010969	12.97700985	12.56520307	12.316914	10.97676548	12.53356231	11.96633976	11.76357118	12.39398079	11.50314233	11.8410232	11.66066146	12.68849773	12.17512357	12.62085973	12.04043004	12.07872305	12.46526084	12.16202482	11.28094896	11.20962153	10.9467081	8.781303993	11.28760919	11.5822356	12.40152229	13.09796213	11.67657666	11.99071953	8.891335371	11.40577071	11.32679228	10.88200414	12.42022968	11.79316371	12.45759198
3980	7.044677632999999	9.215634239	7.264379403	7.633486546	7.790147622	7.229026604	7.390949328	7.241104657	6.914661565	7.62342495	7.426360451	7.081597205	7.313658254	7.071238401	7.07055533	7.194035338	6.987119803	7.800011851	7.913003259	7.353859783	7.456322718	7.297717216	6.895763917	7.846544073	7.276882411	7.475664056	8.99519863	7.23101324	7.833705029	7.18952774	7.409638806	7.846148719	7.849823814	7.487028384	7.393566841	9.687607331	10.05303302	10.33051344	7.264977958	9.763012323	7.045230097	8.606935475	6.946009119	6.849951278	7.14341053	7.265603216	7.169023743	7.118825579	8.256969336	7.256741768	7.56440838	7.416873406	7.243879865	7.267872937	7.110386142	7.050833131	7.976713138	9.727614459	10.05603162
4040	6.7577329939999995	7.462753547	8.960124045	10.43123272	6.851715004	6.742008146	6.975726535	10.44099521	7.257638041	6.833509085	7.030069564	6.753522949	6.801604579	6.669145938	6.791792165	7.02446219	7.355553296	7.330327517	6.827538484	6.762786812	6.893334272	10.35549412	7.305485591	7.068119896	6.808848421	7.036451954	7.211601991	6.840833942	7.477610476	7.289446319	7.291065063	10.32071178	7.226458963	7.27490953	7.619465722	6.903701909	8.035880104	6.798962898	7.45249352	6.875007208	6.947097923	7.280838876	7.050015267	6.823597978	7.436846413	7.275743182	6.902181256	7.572088932	8.117089384	7.151854423	7.546054838	7.321652849	7.138961028	7.400361822	6.652433578999999	6.968517921	7.051099126	7.030959869	8.823533134
4610	7.259578337000001	7.502937678	6.492948678	6.773668665	7.023940009	6.758466172	6.668917478	6.742110958	6.86067602	6.473944047	6.95559953	7.112830918	7.187093217	6.36606436	6.800228961	7.436437341	6.649679074	6.605188185	6.573680542	7.324908049	8.222191088	7.095631709	7.341362654	7.075102492	6.57787307	6.588745824	7.957634318	7.766851169	7.69624864	6.673599821	7.356190811	7.925719112	7.335945275	6.958602452	6.390411471	6.433198842	8.247715496	6.714958391	7.549953312	6.413783313	7.039703677	7.817912889	6.841307741	6.444938995	6.588587253	6.450074522	6.497098028	6.718795518	7.450021579	7.235989282	7.787402096	6.982287001	9.833469536	7.243803249	6.773615426	6.975956177	7.45066049	6.551355541	7.767362882
4700	6.791154297	6.70696669	6.730833905	6.938691168	6.743314471	6.657332078	6.793457804	6.889955356	7.485331528	7.191427278	7.012333329	6.655695593	7.152807546	6.568910983	7.28548481	6.661418062	6.74575743	6.80356633	6.57263993	7.09952206	7.264279589	6.949502445	6.681787956	6.815687969	7.352162992	7.067524551	6.824287602	6.708332373	6.725652388	6.756337817	6.905569399	6.686430057	6.705948466	6.634808622	6.839367386	7.284495162	6.995406165	6.838098785	6.941924912	6.927951428	7.027844729	7.052714354	6.741007725	6.849211102	6.903049237	6.675050316	6.788761911	7.106239961	7.069402424	6.884740638	6.823876196	6.898641418	6.852838234	6.863512178	6.512064186	6.549598762	6.429853224	6.555774654	7.686624877
4890	11.82232822	13.1483083	12.58700046	10.74146157	11.81000138	11.43158652	10.84981026	11.26355548	10.86279145	11.17701632	11.08313807	12.13059372	11.34194755	11.30381228	11.1192246	12.70244106	9.910266869	10.84672035	11.49268081	11.43382636	11.31791214	11.09423634	11.19679806	10.74128729	11.32783896	9.346506166	11.54868791	11.29833647	10.89022405	9.356132211	11.22006392	12.01002894	11.05983292	10.14896312	11.37369661	12.48532253	12.18836928	12.82187465	12.33805693	13.12832303	11.00592349	11.27510301	9.284718091	11.73681783	10.72788881	8.924296748	12.66877809	10.87688872	12.04485842	11.37439582	10.40433382	11.54102984	13.72993618	11.63732203	9.918735663	8.737000041	11.79674704	13.17397583	13.68152319
5250	6.139285739	6.261195689	6.329141378	6.286115204	6.169254819	6.167706407	6.399319813	6.647681754	6.232111359	6.615644287	6.480370071	6.255248049	6.258143064	6.270913059	6.565031024	6.226069803	6.47668499	6.331774095	6.325222857	6.295725973	6.169738377	6.515128901	6.14564386	6.275925458	6.253787244	6.299298165	6.25721283	6.393993712	6.289065106	6.457735983	6.252587209	6.241792562	6.272514828	6.679302907	6.422258865	6.264577243	6.221548823	6.188448146	6.226382982	6.255665639	6.274254964	6.234837757	6.250299204	6.191584858	6.471694356	6.320337872	6.253614979	6.664799711	6.523076499	6.289741975	6.376175633	6.416421215	6.497143962	6.682975884	6.527306358	6.494926813	6.526782253	6.512857251	6.457776599
5560	9.501397418	8.453761214	8.434442195	8.399718463	8.680166286	8.720122335	8.706500121	8.758281793	8.521563695	8.511658347	8.793431176	8.886919919	8.157317504	8.942993647	9.316891713	8.333020209	9.11560305	8.57929831	8.795567373	8.016625182	8.447752577	8.402469602	8.112882186	8.26137061	8.379041448	8.916531077	8.744656172	8.228382	8.470789371	8.453718395	8.534115256	9.038822764	8.374414676	9.111872881	8.939727603	8.565667873	8.669544057	9.297479885	8.390422754	8.439720545	8.808128128	9.09139776	8.634273649	8.412091761	8.500617564	9.153466893	8.715490468	8.498081827	9.357723531	8.18594861	8.374437232	8.407220249	9.165925172	8.946233444	8.647640526	9.033019365	8.504270258	8.616154464	8.462438761
5730	6.85266211	6.955090814	6.921484142	7.024780848	6.671875852	6.553834808	6.728746797	6.762128154	6.675640275	6.749319801	6.730017145	6.783716847	6.797772641	6.788258001	6.937585001	7.033784491	6.81828365	6.783579227	6.844596048	6.849916873	6.732248016	6.747122342	7.140117051	7.117886903	6.907617796	6.987235332	6.952199842	6.674652991	7.220349351	6.915017119	6.793347443	6.888448439	6.914974703	6.764916497	7.10344496	6.827359603	6.868487592	6.858819851	7.030659974	6.819682363	7.053679585	6.908340287	6.897283944	6.79670762	7.120293039	6.69634573	6.87579726	6.737982554	6.706524169	6.804241176	6.658175556	6.69854823	6.762539589	6.739632243	6.7643897829999995	6.661804383	6.662560588	6.86344952	6.699562446
5740	7.595041945	11.56763797	11.9344155	13.34439914	11.90595385	9.539245611	13.84037252	13.47276175	12.78869773	12.55994941	11.52874654	13.46241873	13.13217251	12.81116692	11.38955245	8.39872169	10.4421365	12.20294946	12.50987414	13.01090301	13.66823057	13.0175424	12.31703742	12.3523798	11.51027849	12.08916297	12.97030313	10.77942858	12.08224157	9.919336661	13.47263497	13.1311536	9.55222747	11.02625145	11.08662913	12.66309801	13.11292463	12.54612243	13.33557973	12.54748788	13.78294709	13.6769866	10.11226692	7.431918782	9.429481935	9.190253182	8.079200145	10.62804822	11.82832093	12.64071943	10.70426865	12.11580396	9.747824459	12.57950565	10.22000896	11.04109911	10.12045871	12.7382425	12.18702324
