	Sample 0	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Sample 19	Sample 20	Sample 21	Sample 22	Sample 23	Sample 24	Sample 25	Sample 26	Sample 27	Sample 28	Sample 29
K0	0.3965236293486167	0.2615769705221391	0.966482717223314	0.27636490958730553	0.24860184782366485	0.14604272490984882	0.5739808966544466	0.5973661963339842	0.4846461839623773	0.6506159242470081	0.5008334633908507	0.6513938551595868	0.23593039951511488	0.8107790602873645	0.5134928219575141	0.5547989921192572	0.38571171952062494	0.8562673480648724	0.8033386119758537	0.760651141856147	0.8179843312810864	0.7822672814683675	0.6471182476328262	0.4922465642275404	0.7602952923778161	0.3368044009376634	0.5371264154623022	0.9172759035939716	0.9171725245633608	0.6571901730418515
K1	0.7645417405750083	0.9066606437966732	0.0	0.9735525723701988	0.7793167695249379	0.9636441420740671	0.3614017037017723	0.4070764837691656	0.5780027969345318	0.4483710699442671	0.5427997531229186	0.31383430444806615	0.9775596808392513	0.35532903071923067	0.4380611137511547	0.6676243395871522	0.631106283210336	0.2671825928883425	0.05907208514180376	0.1804344845413024	0.028010728522154475	0.058303390499829626	0.2397356364533247	0.2959739265458939	0.26397380235822615	0.820881329038708	0.5632503700742904	0.16359361087144453	0.054999732217577944	0.3128727103260918
